"","MAP","MAT","Alt","soilN","soilP"
"1",280.5,-3.41666666666667,2672,0.526623100472183,0.0726457721907639
"2",260.5,-3.56666666666667,2478,0.468476826798848,0.0748214146877273
"3",263,-2.37916666666667,2667.5,0.376036024591113,0.0834456899443645
"4",65,5.27916666666667,1730.5,0.0195335811071695,0.0316815205827622
"5",54,8.07,1362,0.00861624176055991,0.0288610674240153
"6",84,8.13333333333333,1387.5,0.018057810420646,0.0295871644191859
"7",42,8.71666666666667,1043.14285714286,0.0130038984759069,0.0397026636420393
"8",38,8.725,924,0.00615971203797904,0.0319032473858648
"9",49,7.71666666666667,1136.5,0.00757206300364211,0.0309883390124562
"10",51,8.39166666666667,999.333333333333,0.0154700370235599,0.0386715350350657
"11",53,9,869.5,0.00802098578482712,0.0327555405624946
"12",93,6.11666666666667,1460.5,0.0208634913742801,0.0412145678456931
"13",90,6.69166666666667,1307,0.0129653245939463,0.023836087148975
"14",99.5,6.925,1293,0.0159139841494341,0.0250910898149458
"15",120,6.09583333333333,1465,0.0193020944314917,0.0236521489207625
"16",142,4.45833333333333,1617,0.0555239391279015,0.0314196476911431
"17",151,4.275,1514.5,0.0435324747568103,0.0311854793105638
"18",156,4.10833333333333,1513,0.0406909225290349,0.020887896729112
"19",173,4.46666666666667,1384.5,0.0349199030708631,0.016732507425451
"20",204,3.41666666666667,1518,0.05763060938114,0.0252099881159781
"21",189,4.5625,1275.5,0.046337608192811,0.0189677068452743
"22",179.5,5.22083333333333,1151,0.0417902588715079,0.0225422981974042
"23",170,5.2625,1122,0.0395412353563762,0.0240986633792597
"24",152,4.90833333333333,1034.5,0.0340030289824692,0.0189508818754716
"25",148,4.26666666666667,1046,0.0474799085337331,0.0258511265830217
"26",148,3.55833333333333,1012.5,0.0516694846073996,0.0266599833877131
"27",147,3.5,955.5,0.0236934507792276,0.0125626564261195
"28",182,2.9125,1051,0.0522676124860438,0.0219989147778732
"29",199.5,2.71666666666667,1022.5,0.0406578331412505,0.0201229720623516
"30",222,2.15833333333333,1049.5,0.0607796965632425,0.0195318921243155
"31",246,1.125,1128,0.0761265672832959,0.0197496473806414
"32",271,1.31666666666667,1097.5,0.10210228456851,0.0247985493758179
"33",306,1.01666666666667,1103.5,0.13122472256534,0.0273121668636567
"34",324,1.03333333333333,1047.5,0.144564844308149,0.0247635054141216
"35",360,0.633333333333333,1101,0.242307692508378,0.0395609343854975
"36",380,0.825,986.5,0.151749985683228,0.0240597565519518
"37",420,0.416666666666667,971.5,0.16004405534785,0.023330450364134
"38",435,0.2,694.5,0.315279101218738,0.0580859392240052
"39",352,-1.85,871.5,0.321851414928056,0.0509482081295684
"40",285.5,-1.04166666666667,717.5,0.17062857823258,0.0330385872722359
"41",270,-0.258333333333333,573.5,0.0917961773321895,0.0213057504979255
"42",260,0.183333333333333,591.5,0.0705459214795378,0.0159664041129082
"43",262.5,0.316666666666667,564.5,0.097590179448707,0.043375992142001
"44",297,-1.49166666666667,719.5,0.119522340109856,0.0201437524199533
"45",318,-1.475,578.5,0.0891868132001958,0.0176719424782894
"46",332,-1.46666666666667,533.5,0.113262917091467,0.0205576310139683
"47",362,-1.70833333333333,530,0.170230111455331,0.0294981552580568
"48",406,-2.875,754,0.371241845549539,0.0754952313219173
"49",360,-1.275,599,0.376670194968061,0.0641518508000624
"50",421,5.31666666666667,144,0.100287458822641,0.0257167807888911
"51",434,5.36666666666667,146,0.0588733393226111,0.0227481884246439
"52",436,6.11666666666667,214,0.012577094225669,0.00655838256577264
