"","SiteID","Latitude","Longitude","X","Y"
"1",1,42.893861,83.468156,-1751.60141409101,5132.64888244504
"2",2,42.978939,84.046792,-1700.96073014929,5125.51285875112
"3",4,43.086472,85.223489,-1600.85089594448,5104.97356573067
"4",13,41.570236,95.297233,-811.004466388274,4722.88122457225
"5",14,40.569636,96.674239,-714.493285127787,4590.86045081663
"6",16,39.864853,98.655639,-557.213535347392,4486.38266435705
"7",19,41.138419,100.460756,-385.168321910657,4608.00840382884
"8",21,42.013714,101.706422,-269.852501057067,4693.2831185708
"9",22,41.963633,102.344969,-217.482654377553,4682.12046136642
"10",23,41.717444,103.114272,-156.194143044496,4648.55629554926
"11",24,41.357314,103.761886,-105.641375113729,4603.77286008118
"12",25,40.876011,104.446983,-52.3235119164701,4545.71207280798
"13",26,40.793694,104.880958,-16.3663532391801,4533.90730979872
"14",27,40.729022,105.612167,44.9239918968708,4522.65986809391
"15",28,40.690278,106.035794,80.4751580669521,4516.24099823908
"16",29,41.450619,107.001678,166.001699024391,4596.503258366
"17",30,41.796233,107.469894,206.693173132058,4633.17874613309
"18",31,41.828603,107.611183,218.575972807345,4636.30028731799
"19",32,41.866067,108.054008,255.497060181375,4639.10304895633
"20",33,41.91455,108.710747,310.150553974489,4642.82321236688
"21",34,42.162797,109.165597,348.464341046881,4669.48024029063
"22",35,42.4152,109.805017,401.679644993506,4696.56869725331
"23",36,42.623956,110.294922,442.180910168829,4719.29804633421
"24",37,42.931872,110.824219,485.656559402921,4753.26432915322
"25",38,43.147136,111.355072,528.872192687651,4777.21539114782
"26",39,43.381808,111.964256,578.106737796589,4803.66680110511
"27",40,43.634756,112.196397,596.506877632818,4832.00263929897
"28",41,43.707139,112.921311,654.796427852134,4841.13995408791
"29",42,43.818969,113.466339,698.339393885512,4854.7230469302
"30",43,43.849617,114.085617,748.015573182973,4859.79918731378
"31",44,43.979447,114.826747,806.920317334041,4876.71274866458
"32",45,43.925986,115.701875,877.453176057014,4874.4088245487
"33",46,44.221517,116.507064,939.896595095496,4911.24411903341
"34",47,44.466583,117.179733,991.573143681699,4942.30382459915
"35",48,44.666186,117.895758,1046.65250863119,4969.05055512161
"36",49,44.989969,118.745803,1110.59289765988,5011.10505644536
"37",50,45.426797,119.723061,1182.34307941887,5067.50830307861
"38",51,46.377158,120.477356,1228.68268660624,5179.7762413967
"39",52,47.656006,119.299278,1122.98719313674,5311.5286718199
"40",53,48.088833,118.455567,1055.02560760948,5353.11924908537
"41",54,48.344544,117.979492,1017.01225599001,5378.17908364922
"42",55,48.497028,117.151989,954.378568959501,5389.84749824555
"43",56,48.857497,116.893333,932.17898976,5428.3805718025
"44",57,49.338222,117.091178,942.373408987307,5482.92413707857
"45",58,49.529275,118.009956,1007.07033458575,5509.94757259627
"46",59,49.783856,118.533464,1042.05578297609,5541.88363993218
"47",60,50.053756,119.282769,1092.57271415927,5577.54942205889
"48",61,49.879003,119.993592,1145.70353074597,5564.07686960968
"49",62,49.480197,119.682067,1128.52030695796,5517.16786879224
"50",64,44.771331,123.384719,1480.00016372209,5032.73409951222
"51",65,44.481742,123.481789,1492.68361834498,5001.75720263411
"52",66,43.192925,122.248344,1414.30888155744,4844.080856095
